fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1225981_78_7.jpg	1225981	https://dl.ndl.go.jp/info:ndljp/pid/1225981	三菱電機総型録				三菱電機株式会社 編	三菱電機	昭和9	1934		425, 10, 11p ; 30cm	542					インターネット公開（保護期間満了）
1227957_31_0.jpg	1227957	https://dl.ndl.go.jp/info:ndljp/pid/1227957	株式社債年鑑	昭和12年版			山一証券株式会社調査部 編	山一証券	昭11至12	1937			676					インターネット公開（保護期間満了）
1227957_43_0.jpg	1227957	https://dl.ndl.go.jp/info:ndljp/pid/1227957	株式社債年鑑	昭和12年版			山一証券株式会社調査部 編	山一証券	昭11至12	1937			676					インターネット公開（保護期間満了）
1227987_181_1.jpg	1227987	https://dl.ndl.go.jp/info:ndljp/pid/1227987	株式社債年鑑	昭和13年版			山一証券株式会社調査部 編	山一証券	昭11至12	1937			676					インターネット公開（保護期間満了）
1227987_191_1.jpg	1227987	https://dl.ndl.go.jp/info:ndljp/pid/1227987	株式社債年鑑	昭和13年版			山一証券株式会社調査部 編	山一証券	昭11至12	1937			676					インターネット公開（保護期間満了）
1229676_412_0.jpg	1229676	https://dl.ndl.go.jp/info:ndljp/pid/1229676	衛生工業便覧	第3回(昭和17年)			衛生工業便覧委員会 編	衛生工業便覧委員会	昭和17	1942		966p ; 26cm	528					インターネット公開（保護期間満了）
1239663_226_2.jpg	1239663	https://dl.ndl.go.jp/info:ndljp/pid/1239663	施肥標準調査成績	第1報			滋賀県立農事試験場 編	滋賀県立農事試験場	昭12	1937		512p 図版 ; 28cm	613					インターネット公開（保護期間満了）
1239663_86_2.jpg	1239663	https://dl.ndl.go.jp/info:ndljp/pid/1239663	施肥標準調査成績	第1報			滋賀県立農事試験場 編	滋賀県立農事試験場	昭12	1937		512p 図版 ; 28cm	613					インターネット公開（保護期間満了）
1240862_204_1.jpg	1240862	https://dl.ndl.go.jp/info:ndljp/pid/1240862	株式社債年鑑	昭和9年度			山一証券株式会社調査部 編	山一証券	昭和8	1933			676					インターネット公開（保護期間満了）
1241275_249_0.jpg	1241275	https://dl.ndl.go.jp/info:ndljp/pid/1241275	国際通信書	電信篇 上巻			逓信省管船局 編	日本海員掖済会	昭和8	1933			694					インターネット公開（保護期間満了）
1241291_227_0.jpg	1241291	https://dl.ndl.go.jp/info:ndljp/pid/1241291	国際通信書	電信篇 下巻			逓信省管船局 編	日本海員掖済会	昭和8	1933			694					インターネット公開（保護期間満了）
1242013_149_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_151_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_151_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_314_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_345_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_373_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_394_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_394_3.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_397_2.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_427_3.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_428_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_428_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_429_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_429_2.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_500_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_501_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_501_2.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_501_3.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_501_4.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_511_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_511_1.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_670_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_674_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242013_677_0.jpg	1242013	https://dl.ndl.go.jp/info:ndljp/pid/1242013	世界経済の現勢				三菱経済研究所 編	三菱経済研究所	昭和9	1934		691p ; 27cm	602					インターネット公開（保護期間満了）
1242579_19_2.jpg	1242579	https://dl.ndl.go.jp/info:ndljp/pid/1242579	農業保険調査資料	第11			農林省農務局 編	農林省農務局	昭和4-6	1931			611					インターネット公開（保護期間満了）
1244727_132_1.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_266_0.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_266_1.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_283_2.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_32_0.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_32_1.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_334_0.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_384_3.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_401_3.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244727_49_0.jpg	1244727	https://dl.ndl.go.jp/info:ndljp/pid/1244727	三菱電機総型録	電力編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244757_148_1.jpg	1244757	https://dl.ndl.go.jp/info:ndljp/pid/1244757	三菱電機総型録	工業編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244757_282_0.jpg	1244757	https://dl.ndl.go.jp/info:ndljp/pid/1244757	三菱電機総型録	工業編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244757_36_0.jpg	1244757	https://dl.ndl.go.jp/info:ndljp/pid/1244757	三菱電機総型録	工業編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1244757_85_0.jpg	1244757	https://dl.ndl.go.jp/info:ndljp/pid/1244757	三菱電機総型録	工業編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1246176_500_1.jpg	1246176	https://dl.ndl.go.jp/info:ndljp/pid/1246176	中小商工業振興調査会資料	第12・第3分冊				東京市産業局	昭10至14	1939			671					インターネット公開（保護期間満了）
1246176_502_0.jpg	1246176	https://dl.ndl.go.jp/info:ndljp/pid/1246176	中小商工業振興調査会資料	第12・第3分冊				東京市産業局	昭10至14	1939			671					インターネット公開（保護期間満了）
1246176_502_4.jpg	1246176	https://dl.ndl.go.jp/info:ndljp/pid/1246176	中小商工業振興調査会資料	第12・第3分冊				東京市産業局	昭10至14	1939			671					インターネット公開（保護期間満了）
1246486_599_3.jpg	1246486	https://dl.ndl.go.jp/info:ndljp/pid/1246486	塗料年鑑	昭和14年版			塗工之魁新聞社 編	塗工之魁新聞社	昭和14	1939			576					インターネット公開（保護期間満了）
1246503_38_2.jpg	1246503	https://dl.ndl.go.jp/info:ndljp/pid/1246503	日本標準規格 : JES	第13輯			商工省工業品規格統一調査会 編	工業調査協会	昭和15	1940			501					インターネット公開（保護期間満了）
1255439_86_0.jpg	1255439	https://dl.ndl.go.jp/info:ndljp/pid/1255439	実用放送工学	上卷			日本放送協会 編	日本放送出版協会	昭14至15	1940			548					インターネット公開（保護期間満了）
1256000_128_1.jpg	1256000	https://dl.ndl.go.jp/info:ndljp/pid/1256000	積分学通論				山崎栄作 著	内田老鶴圃	昭12	1937		521p ; 23cm	413					インターネット公開（保護期間満了）
1256231_12_4.jpg	1256231	https://dl.ndl.go.jp/info:ndljp/pid/1256231	脱穀機ニ関スル試験成績				農林省農務局 編	農林省農務局	昭12	1937		190p ; 23cm	614					インターネット公開（保護期間満了）
1256231_12_5.jpg	1256231	https://dl.ndl.go.jp/info:ndljp/pid/1256231	脱穀機ニ関スル試験成績				農林省農務局 編	農林省農務局	昭12	1937		190p ; 23cm	614					インターネット公開（保護期間満了）
1257046_165_0.jpg	1257046	https://dl.ndl.go.jp/info:ndljp/pid/1257046	日本の発電所	東部日本篇			日本動力協会 編	工業調査協会	昭12	1937			543					インターネット公開（保護期間満了）
1257061_16_0.jpg	1257061	https://dl.ndl.go.jp/info:ndljp/pid/1257061	日本の発電所	中部日本篇			日本動力協会 編	工業調査協会	昭12	1937			543					インターネット公開（保護期間満了）
1257061_182_1.jpg	1257061	https://dl.ndl.go.jp/info:ndljp/pid/1257061	日本の発電所	中部日本篇			日本動力協会 編	工業調査協会	昭12	1937			543					インターネット公開（保護期間満了）
1257061_71_2.jpg	1257061	https://dl.ndl.go.jp/info:ndljp/pid/1257061	日本の発電所	中部日本篇			日本動力協会 編	工業調査協会	昭12	1937			543					インターネット公開（保護期間満了）
1257420_43_2.jpg	1257420	https://dl.ndl.go.jp/info:ndljp/pid/1257420	微分学通論				山崎栄作 著	内田老鶴圃	昭11	1936		551, 80, 4p ; 22cm	413					インターネット公開（保護期間満了）
1258938_204_1.jpg	1258938	https://dl.ndl.go.jp/info:ndljp/pid/1258938	芝浦電鉄型録 : KSA-80I				芝浦製作所 [編]	芝浦製作所	昭和10	1935		244, 7p ; 29cm	546					インターネット公開（保護期間満了）
1258938_204_2.jpg	1258938	https://dl.ndl.go.jp/info:ndljp/pid/1258938	芝浦電鉄型録 : KSA-80I				芝浦製作所 [編]	芝浦製作所	昭和10	1935		244, 7p ; 29cm	546					インターネット公開（保護期間満了）
1258938_204_5.jpg	1258938	https://dl.ndl.go.jp/info:ndljp/pid/1258938	芝浦電鉄型録 : KSA-80I				芝浦製作所 [編]	芝浦製作所	昭和10	1935		244, 7p ; 29cm	546					インターネット公開（保護期間満了）
1262011_74_7.jpg	1262011	https://dl.ndl.go.jp/info:ndljp/pid/1262011	建築年鑑	昭和15年版			建築学会 編	建築学会	昭13至15	1940			520					インターネット公開（保護期間満了）
1264300_343_0.jpg	1264300	https://dl.ndl.go.jp/info:ndljp/pid/1264300	建築土木資料集覧	昭和6年			建築土木資料集覧刊行会 編	建築土木資料集覧刊行会	昭和6	1931			510					インターネット公開（保護期間満了）
1264300_349_0.jpg	1264300	https://dl.ndl.go.jp/info:ndljp/pid/1264300	建築土木資料集覧	昭和6年			建築土木資料集覧刊行会 編	建築土木資料集覧刊行会	昭和6	1931			510					インターネット公開（保護期間満了）
1264300_507_0.jpg	1264300	https://dl.ndl.go.jp/info:ndljp/pid/1264300	建築土木資料集覧	昭和6年			建築土木資料集覧刊行会 編	建築土木資料集覧刊行会	昭和6	1931			510					インターネット公開（保護期間満了）
1264300_507_1.jpg	1264300	https://dl.ndl.go.jp/info:ndljp/pid/1264300	建築土木資料集覧	昭和6年			建築土木資料集覧刊行会 編	建築土木資料集覧刊行会	昭和6	1931			510					インターネット公開（保護期間満了）
1264363_208_0.jpg	1264363	https://dl.ndl.go.jp/info:ndljp/pid/1264363	建築土木資料集覧	昭和10年			建築土木資料集覧刊行会 編	建築土木資料集覧刊行会	昭和10	1935			510					インターネット公開（保護期間満了）
1264712_395_0.jpg	1264712	https://dl.ndl.go.jp/info:ndljp/pid/1264712	鹿児島高等農林学校開校廿五周年記念論文集	前編			鹿児島高等農林学校 編	鹿児島高等農林学校創立廿五周年記念会	昭和9	1934			610					インターネット公開（保護期間満了）
1264754_373_1.jpg	1264754	https://dl.ndl.go.jp/info:ndljp/pid/1264754	鹿児島高等農林学校開校廿五周年記念論文集	後編			鹿児島高等農林学校 編	鹿児島高等農林学校創立廿五周年記念会	昭和9	1934			610					インターネット公開（保護期間満了）
1267784_254_1.jpg	1267784	https://dl.ndl.go.jp/info:ndljp/pid/1267784	台湾総督府税務年報	昭和14年度			台湾総督府財務局税務課 編	台湾総督府財務局税務課	昭和16	1941		817p ; 22cm	345					インターネット公開（保護期間満了）
1267784_254_2.jpg	1267784	https://dl.ndl.go.jp/info:ndljp/pid/1267784	台湾総督府税務年報	昭和14年度			台湾総督府財務局税務課 編	台湾総督府財務局税務課	昭和16	1941		817p ; 22cm	345					インターネット公開（保護期間満了）
1267823_47_0.jpg	1267823	https://dl.ndl.go.jp/info:ndljp/pid/1267823	三重県勢要覧	昭和１５年			三重県総務部統計課 編	三重県	昭和16-18	1943			351.56					インターネット公開（保護期間満了）
1268057_80_1.jpg	1268057	https://dl.ndl.go.jp/info:ndljp/pid/1268057	滋賀県勢要覧	昭和１３年版			滋賀県総務部統計課 編	滋賀県	昭11至13	1938			351.61					インターネット公開（保護期間満了）
1268057_80_2.jpg	1268057	https://dl.ndl.go.jp/info:ndljp/pid/1268057	滋賀県勢要覧	昭和１３年版			滋賀県総務部統計課 編	滋賀県	昭11至13	1938			351.61					インターネット公開（保護期間満了）
1268173_40_0.jpg	1268173	https://dl.ndl.go.jp/info:ndljp/pid/1268173	世界は何処へ	１９３６年版			同盟通信社 編	同盟通信社	昭和11	1936			310					インターネット公開（保護期間満了）
1268487_87_2.jpg	1268487	https://dl.ndl.go.jp/info:ndljp/pid/1268487	横浜商工会議所統計年報	昭和１４年			横浜商工会議所 編	横浜商工会議所	昭和14	1939			330					インターネット公開（保護期間満了）
1269098_10_0.jpg	1269098	https://dl.ndl.go.jp/info:ndljp/pid/1269098	世界は何処へ	昭和７年　下半期版			新聞聯合社 編	新聞聯合社	昭和7	1932			310					インターネット公開（保護期間満了）
1269114_35_0.jpg	1269114	https://dl.ndl.go.jp/info:ndljp/pid/1269114	世界は何処へ	昭和１０年版			新聞聯合社 編	新聞聯合社	昭和10	1935			310					インターネット公開（保護期間満了）
1271753_85_0.jpg	1271753	https://dl.ndl.go.jp/info:ndljp/pid/1271753	金融事項参考書	大正１５年調			大蔵省理財局 編	大蔵省理財局	昭和元	1926			338					インターネット公開（保護期間満了）
1272134_28_3.jpg	1272134	https://dl.ndl.go.jp/info:ndljp/pid/1272134	大都市公企業統計年報	第１回（昭和４年度）			大都市調査統計協議会 編	[東京市]	昭和8	1933			335					インターネット公開（保護期間満了）
1275262_22_0.jpg	1275262	https://dl.ndl.go.jp/info:ndljp/pid/1275262	新制中等物理教授資料	第3・4・5学年用			東京高等師範学校内附属中学校理科研究会 編	目黒書店	昭和9	1934		202p ; 19cm	375.4					インターネット公開（保護期間満了）
1275262_24_1.jpg	1275262	https://dl.ndl.go.jp/info:ndljp/pid/1275262	新制中等物理教授資料	第3・4・5学年用			東京高等師範学校内附属中学校理科研究会 編	目黒書店	昭和9	1934		202p ; 19cm	375.4					インターネット公開（保護期間満了）
1275756_506_0.jpg	1275756	https://dl.ndl.go.jp/info:ndljp/pid/1275756	模範速成中学講義録	下巻			昭和模範速成中学会出版部 編	昭和模範速成中学会	昭和9	1934		1冊 ; 15cm	375					インターネット公開（保護期間満了）
1276376_154_0.jpg	1276376	https://dl.ndl.go.jp/info:ndljp/pid/1276376	資本主義の成立と発展				石浜知行 著	銀座出版社	昭和23	1948		322p ; 21cm	333.9					インターネット公開（保護期間満了）
1277188_126_2.jpg	1277188	https://dl.ndl.go.jp/info:ndljp/pid/1277188	朝鮮統計要覧	昭和14年			朝鮮総督府 編	朝鮮総督府	昭和16	1941		303p ; 16cm	352					インターネット公開（保護期間満了）
1277257_35_1.jpg	1277257	https://dl.ndl.go.jp/info:ndljp/pid/1277257	博多商工会議所統計年報	昭和１４			博多商工会議所 編	博多商工会議所	昭和16-18	1943			330					インターネット公開（保護期間満了）
1278577_64_3.jpg	1278577	https://dl.ndl.go.jp/info:ndljp/pid/1278577	福井商工会議所統計年報	昭和１０年			福井商工会議所 編	福井商工会議所	昭和12	1937			330					インターネット公開（保護期間満了）
1278645_42_1.jpg	1278645	https://dl.ndl.go.jp/info:ndljp/pid/1278645	満洲帝国国勢グラフ	康徳4年版			国務院総務庁統計処 編	国務院総務庁統計処	康徳3	1936		146p ; 27cm	352					インターネット公開（保護期間満了）
1278645_99_0.jpg	1278645	https://dl.ndl.go.jp/info:ndljp/pid/1278645	満洲帝国国勢グラフ	康徳4年版			国務院総務庁統計処 編	国務院総務庁統計処	康徳3	1936		146p ; 27cm	352					インターネット公開（保護期間満了）
1278656_47_0.jpg	1278656	https://dl.ndl.go.jp/info:ndljp/pid/1278656	三重県勢要覧	昭和９年			三重県総務部統計課 編	三重県	昭和11	1936			351.56					インターネット公開（保護期間満了）
1278663_35_0.jpg	1278663	https://dl.ndl.go.jp/info:ndljp/pid/1278663	三重県勢要覧	昭和１１年			三重県総務部統計課 編	三重県	昭和13	1938			351.56					インターネット公開（保護期間満了）
1278844_93_0.jpg	1278844	https://dl.ndl.go.jp/info:ndljp/pid/1278844	甲府市統計書	第２１回（大正１４年）			甲府市 編	甲府市	昭和3	1928			351.51					インターネット公開（保護期間満了）
1281224_344_3.jpg	1281224	https://dl.ndl.go.jp/info:ndljp/pid/1281224	株式会社 : 株式会社の本質に関する経営経済的研究			再版	増地庸治郎 著	巌松堂書店	1940	1940		820p ; 22cm	335.4				株式会社	インターネット公開（保護期間満了）
1281267_28_1.jpg	1281267	https://dl.ndl.go.jp/info:ndljp/pid/1281267	ナチス労働法				協調会調査部 編	協調会	1936 2版	1936		336p ; 23cm	366.1				労働法	インターネット公開（保護期間満了）
1281267_28_2.jpg	1281267	https://dl.ndl.go.jp/info:ndljp/pid/1281267	ナチス労働法				協調会調査部 編	協調会	1936 2版	1936		336p ; 23cm	366.1				労働法	インターネット公開（保護期間満了）
1281443_116_0.jpg	1281443	https://dl.ndl.go.jp/info:ndljp/pid/1281443	我企業予算制度の実証的研究				長谷川安兵衛 著	同文館	1936	1936		283, 35p 表 ; 24cm	335.96				予算統制	インターネット公開（保護期間満了）
1281561_128_0.jpg	1281561	https://dl.ndl.go.jp/info:ndljp/pid/1281561	戦後における中国経済					外務省調査局第五課	1948	1948		249p ; 21cm	332.22					インターネット公開（保護期間満了）
1281583_88_0.jpg	1281583	https://dl.ndl.go.jp/info:ndljp/pid/1281583	満蒙政治経済提要		経済学全集 ; 第25巻		東亜経済調査局 編	改造社	1932	1932		621, 68p ; 20cm	332.225					インターネット公開（保護期間満了）
1350400_12_0.jpg	1350400	https://dl.ndl.go.jp/info:ndljp/pid/1350400	決算検査報告	昭和40年度				会計検査院	[1966]	1966		277p ; 26cm			314.1459	BZ-4		インターネット公開（保護期間満了）
1350400_65_2.jpg	1350400	https://dl.ndl.go.jp/info:ndljp/pid/1350400	決算検査報告	昭和40年度				会計検査院	[1966]	1966		277p ; 26cm			314.1459	BZ-4		インターネット公開（保護期間満了）
1438225_78_1.jpg	1438225	https://dl.ndl.go.jp/info:ndljp/pid/1438225	自習・受験商業算術問題精解				東京商業数学研究会 編	明誠館書店	昭和4	1929		226p ; 20cm	375.6					インターネット公開（保護期間満了）
1438670_90_0.jpg	1438670	https://dl.ndl.go.jp/info:ndljp/pid/1438670	山口県勢一班	昭和2年				山口県	昭和4	1929		192p ; 15cm	351.77					インターネット公開（保護期間満了）
1439002_50_0.jpg	1439002	https://dl.ndl.go.jp/info:ndljp/pid/1439002	現行共済組合法規総覧					社会保険法規出版	昭和16	1941		737p ; 22cm	317||317.34					インターネット公開（保護期間満了）
1439249_57_3.jpg	1439249	https://dl.ndl.go.jp/info:ndljp/pid/1439249	英国の印度に対する経済依存度					世界経済調査会	昭和18	1943		82, 100p ; 26cm	332.2||332.25					インターネット公開（保護期間満了）
1439860_20_2.jpg	1439860	https://dl.ndl.go.jp/info:ndljp/pid/1439860	[宇部商工会議所]統計年報	昭和16年版			宇部商工会議所 編	宇部商工会議所	昭和16	1941		36p ; 22cm	330					インターネット公開（保護期間満了）
1439872_48_1.jpg	1439872	https://dl.ndl.go.jp/info:ndljp/pid/1439872	大分県統計書	昭和１５年　第１編			大分県総務部統計課 編	大分県総務部統計課	昭和16-18	1943			351.95					インターネット公開（保護期間満了）
1439878_45_1.jpg	1439878	https://dl.ndl.go.jp/info:ndljp/pid/1439878	大分県統計書	昭和１５年　第２編			大分県総務部統計課 編	大分県総務部統計課	昭和16-18	1943			351.95					インターネット公開（保護期間満了）
1440069_37_1.jpg	1440069	https://dl.ndl.go.jp/info:ndljp/pid/1440069	最近神奈川県勢概要	昭和16年3月			神奈川県総務部統計調査課 編	神奈川県総務部統計調査課	昭和16	1941		179p ; 15cm	351.37					インターネット公開（保護期間満了）
1440069_76_1.jpg	1440069	https://dl.ndl.go.jp/info:ndljp/pid/1440069	最近神奈川県勢概要	昭和16年3月			神奈川県総務部統計調査課 編	神奈川県総務部統計調査課	昭和16	1941		179p ; 15cm	351.37					インターネット公開（保護期間満了）
1440238_216_0.jpg	1440238	https://dl.ndl.go.jp/info:ndljp/pid/1440238	南洋叢書	第４巻			東亜経済調査局 編	東亜経済調査局	昭和16	1941			332					インターネット公開（保護期間満了）
1440399_10_4.jpg	1440399	https://dl.ndl.go.jp/info:ndljp/pid/1440399	[大津商工会議所]統計年報	昭和9年			大津商工会議所 編	大津商工会議所	昭10	1935		73p ; 23cm	330					インターネット公開（保護期間満了）
1440607_18_0.jpg	1440607	https://dl.ndl.go.jp/info:ndljp/pid/1440607	救護法に依る救護の廃止停止事情及其の世帯の現状に関する調査	昭和12年10月現在			東京市社会局 編	東京市社会局	昭13	1938		77p 図版 ; 27cm	369					インターネット公開（保護期間満了）
1440607_18_1.jpg	1440607	https://dl.ndl.go.jp/info:ndljp/pid/1440607	救護法に依る救護の廃止停止事情及其の世帯の現状に関する調査	昭和12年10月現在			東京市社会局 編	東京市社会局	昭13	1938		77p 図版 ; 27cm	369					インターネット公開（保護期間満了）
1441462_75_1.jpg	1441462	https://dl.ndl.go.jp/info:ndljp/pid/1441462	労働年鑑	昭和１３年版			協調会 編	協調会	昭和13	1938			366					インターネット公開（保護期間満了）
1441812_443_2.jpg	1441812	https://dl.ndl.go.jp/info:ndljp/pid/1441812	日本帝国国勢一斑	第５２回			内務大臣官房文書課 編	帝国地方行政学会	昭和11	1936			351					インターネット公開（保護期間満了）
1441842_167_0.jpg	1441842	https://dl.ndl.go.jp/info:ndljp/pid/1441842	日本帝国国勢一斑	第５３回			内務大臣官房文書課 編	帝国地方行政学会	昭和12	1937			351					インターネット公開（保護期間満了）
1441842_167_3.jpg	1441842	https://dl.ndl.go.jp/info:ndljp/pid/1441842	日本帝国国勢一斑	第５３回			内務大臣官房文書課 編	帝国地方行政学会	昭和12	1937			351					インターネット公開（保護期間満了）
1441842_395_1.jpg	1441842	https://dl.ndl.go.jp/info:ndljp/pid/1441842	日本帝国国勢一斑	第５３回			内務大臣官房文書課 編	帝国地方行政学会	昭和12	1937			351					インターネット公開（保護期間満了）
1442178_100_0.jpg	1442178	https://dl.ndl.go.jp/info:ndljp/pid/1442178	欧米財政経済統計要覧	3(独逸)			大蔵省理財局 編	大蔵省理財局	昭和2	1927		402p ; 27cm	330					インターネット公開（保護期間満了）
1442220_43_2.jpg	1442220	https://dl.ndl.go.jp/info:ndljp/pid/1442220	樺太庁統計書	昭和３年			樺太庁 編	樺太庁	昭和5	1930			352					インターネット公開（保護期間満了）
1442220_47_0.jpg	1442220	https://dl.ndl.go.jp/info:ndljp/pid/1442220	樺太庁統計書	昭和３年			樺太庁 編	樺太庁	昭和5	1930			352					インターネット公開（保護期間満了）
