fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1208242_77_4.jpg	1208242	https://dl.ndl.go.jp/info:ndljp/pid/1208242	青刈大豆の改良増殖に関する試験成績報告	第1報			福岡県立農事試験場 編	福岡県立農事試験場	昭和6	1931		136p ; 27cm	616					インターネット公開（保護期間満了）
1208944_152_1.jpg	1208944	https://dl.ndl.go.jp/info:ndljp/pid/1208944	衛生工業便覧	昭和8年			衛生工業協会 [編]	千葉義宗	昭和9	1934		513p ; 26cm	528					インターネット公開（保護期間満了）
1209126_217_0.jpg	1209126	https://dl.ndl.go.jp/info:ndljp/pid/1209126	株式投資年鑑	昭和8年版			経済情報社 編	経済情報社	昭和8	1933			676					インターネット公開（保護期間満了）
1209126_276_0.jpg	1209126	https://dl.ndl.go.jp/info:ndljp/pid/1209126	株式投資年鑑	昭和8年版			経済情報社 編	経済情報社	昭和8	1933			676					インターネット公開（保護期間満了）
1209126_276_1.jpg	1209126	https://dl.ndl.go.jp/info:ndljp/pid/1209126	株式投資年鑑	昭和8年版			経済情報社 編	経済情報社	昭和8	1933			676					インターネット公開（保護期間満了）
1209126_276_2.jpg	1209126	https://dl.ndl.go.jp/info:ndljp/pid/1209126	株式投資年鑑	昭和8年版			経済情報社 編	経済情報社	昭和8	1933			676					インターネット公開（保護期間満了）
1209126_38_0.jpg	1209126	https://dl.ndl.go.jp/info:ndljp/pid/1209126	株式投資年鑑	昭和8年版			経済情報社 編	経済情報社	昭和8	1933			676					インターネット公開（保護期間満了）
1210003_187_0.jpg	1210003	https://dl.ndl.go.jp/info:ndljp/pid/1210003	珪酸塩類工業概論				内田宗義 著	岩波書店	昭和7	1932		411, 5, 5p ; 23cm	573					インターネット公開（保護期間満了）
1210229_46_2.jpg	1210229	https://dl.ndl.go.jp/info:ndljp/pid/1210229	建築土木標準規格解説				最新工学普及会 編	竜吟社	昭和7	1932		201p ; 19cm	501					インターネット公開（保護期間満了）
1210229_47_0.jpg	1210229	https://dl.ndl.go.jp/info:ndljp/pid/1210229	建築土木標準規格解説				最新工学普及会 編	竜吟社	昭和7	1932		201p ; 19cm	501					インターネット公開（保護期間満了）
1210229_47_1.jpg	1210229	https://dl.ndl.go.jp/info:ndljp/pid/1210229	建築土木標準規格解説				最新工学普及会 編	竜吟社	昭和7	1932		201p ; 19cm	501					インターネット公開（保護期間満了）
1211359_192_0.jpg	1211359	https://dl.ndl.go.jp/info:ndljp/pid/1211359	商品学概説				佐藤弘 著	同文館	昭和10	1935		492p ; 23cm	674					インターネット公開（保護期間満了）
1211359_234_1.jpg	1211359	https://dl.ndl.go.jp/info:ndljp/pid/1211359	商品学概説				佐藤弘 著	同文館	昭和10	1935		492p ; 23cm	674					インターネット公開（保護期間満了）
1211359_29_0.jpg	1211359	https://dl.ndl.go.jp/info:ndljp/pid/1211359	商品学概説				佐藤弘 著	同文館	昭和10	1935		492p ; 23cm	674					インターネット公開（保護期間満了）
1213439_303_4.jpg	1213439	https://dl.ndl.go.jp/info:ndljp/pid/1213439	農事試験場業績 : 創立二十周年記念	熊岳城分場篇			満鉄農事試験場 編	満鉄農事試験場	昭和10	1935		738p ; 27cm	610					インターネット公開（保護期間満了）
1213439_312_2.jpg	1213439	https://dl.ndl.go.jp/info:ndljp/pid/1213439	農事試験場業績 : 創立二十周年記念	熊岳城分場篇			満鉄農事試験場 編	満鉄農事試験場	昭和10	1935		738p ; 27cm	610					インターネット公開（保護期間満了）
1214094_17_0.jpg	1214094	https://dl.ndl.go.jp/info:ndljp/pid/1214094	本邦森林金融事情	昭和8年度			農林省山林局 編	農業と水産社	昭和6-9	1934			651					インターネット公開（保護期間満了）
1216509_337_1.jpg	1216509	https://dl.ndl.go.jp/info:ndljp/pid/1216509	株式投資年鑑	昭和12年版			経済情報社 編	経済情報社	昭12	1937		1061p ; 23cm	676					インターネット公開（保護期間満了）
1216509_450_1.jpg	1216509	https://dl.ndl.go.jp/info:ndljp/pid/1216509	株式投資年鑑	昭和12年版			経済情報社 編	経済情報社	昭12	1937		1061p ; 23cm	676					インターネット公開（保護期間満了）
1219457_118_8.jpg	1219457	https://dl.ndl.go.jp/info:ndljp/pid/1219457	五十音別全国駅名粁程表 : 所在地明細・附別葉地図				運輸実務研究会 編	運輸実務研究会	昭11	1936		270p ; 23cm	686					インターネット公開（保護期間満了）
